nodeid,nodetype,x,y,z,S11,S22,S33,S12,S13,S12,mises
65,1,0.071025,0.089470,0.000000,3185.179321,-323074.367188,-28378.918060,-179113.203613,20089.311646,7634.127014,404461.812500
66,1,0.056529,0.074975,0.000000,121583.108704,-235728.802734,-15484.317474,-102069.446899,197.492493,9392.826721,400724.000000
67,1,0.042034,0.060480,0.000000,187592.202148,-153793.327972,12391.632568,-24017.853149,-27278.361664,7423.808258,302861.375000
68,1,0.027538,0.045984,0.000000,297539.614583,-49821.791463,103686.768229,110460.703125,-12423.375977,1580.126139,464802.531250
69,1,0.013043,0.154487,0.084075,-67812.612482,-1147389.149148,-70427.707120,-166070.526767,-29109.351870,-96348.209839,1681674.250000
70,1,0.013043,0.154487,0.063056,-63418.167188,-856374.067773,-70221.287061,-192388.281836,-2831.500024,-24474.750195,923241.625000
71,1,0.013043,0.154487,0.042037,-70494.763281,-892182.326074,-77042.909912,-195157.590137,20213.687549,36860.286890,1012078.625000
72,1,0.013043,0.154487,0.021019,-100687.324219,-1135400.814453,-104239.693750,-169286.343060,27500.761597,120841.875879,1641127.750000
73,1,0.031957,0.151707,0.000000,146514.025977,-179771.054688,145603.617383,-233280.017969,52817.155615,8232.554688,693216.625000
74,1,0.050386,0.146620,0.000000,263974.904948,-169083.018229,103201.746745,-21412.997070,-31155.338460,20167.138346,693216.625000
75,1,0.068048,0.139305,0.000000,20838.667318,-364729.450521,8353.150635,268030.356120,-76494.163411,37686.740234,604127.312500
76,1,0.084676,0.129870,0.000000,-203317.093750,-684108.518750,-98958.049219,365390.596875,-32280.312793,19919.279297,1101229.250000
77,1,0.084676,0.129870,0.105093,-126064.176758,-490329.468750,-49629.731934,322915.398438,96614.857422,-96255.007812,687645.312500
78,1,0.068048,0.139305,0.105093,215490.163818,-233952.304688,18244.182861,140513.442871,75506.799805,-62154.394531,663204.375000
79,1,0.050386,0.146620,0.105093,301813.789062,-159989.454102,53030.938843,-13113.216471,34570.647461,-25815.809896,601140.437500
80,1,0.031957,0.151707,0.105093,160821.053711,-232451.746094,85426.396484,-262536.986328,-110697.147461,-20138.063965,183352.531250
81,1,0.013043,0.133987,0.105093,-8594.431641,-1863693.062500,-62469.418620,-17445.926860,-4816.753499,-59074.215820,1851805.625000
82,1,0.013043,0.113487,0.105093,10252.879456,-1851457.875000,-20097.791882,17028.334747,-1263.879517,-20873.721924,1825442.625000
83,1,0.013043,0.092988,0.105093,5808.402319,-1859166.700000,-6567.431702,12802.429590,43.918188,-4955.066748,1907997.625000
84,1,0.013043,0.072488,0.105093,13875.355916,-1867985.437500,-11107.529338,15228.554321,-7688.055094,19909.008626,1920076.250000
85,1,0.013043,0.051988,0.105093,-2100.434152,-1959982.553571,-98042.584996,23562.777902,-12389.218750,88411.064453,1891048.750000
